municipios;ibge;latitude;longitude;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
acegua;4300034;-31.860759999990;-54.167059999990;4.487;4.485;4.539;4.520;4.564;4.483;4.472;4.412;4.487;4.516;4.540;4.505
agua santa;4300059;-28.167200000000;-52.030999999990;3.801;3.789;3.858;3.898;3.959;3.922;3.977;4.013;4.057;4.107;4.093;4.256
agudo;4300109;-29.644700000000;-53.251500000000;17.057;16.791;16.731;16.838;16.851;16.701;16.595;16.475;16.537;16.556;16.760;16.612
ajuricaba;4300208;-28.234200000000;-53.775700000000;7.399;7.466;7.389;7.431;7.299;7.241;7.279;7.325;7.546;7.485;7.584;7.447
alecrim;4300307;-27.657900000000;-54.764899999990;7.176;7.092;7.074;6.891;6.814;6.598;6.594;6.569;6.513;6.435;6.301;6.403
alegrete;4300406;-29.790199999990;-55.794899999990;79.245;77.956;76.251;75.192;74.229;73.845;72.900;72.524;72.516;72.376;72.072;72.085
alegria;4300455;-27.834499999990;-54.055700000000;4.387;4.354;4.296;4.293;4.198;4.113;4.122;4.137;4.231;4.227;4.247;4.219
almirante tamandare do sul;4300471;-28.108599999990;-52.911900000000;2.105;2.011;1.981;1.981;2.003;2.031;2.048;2.085;2.083;2.072;2.052;2.074
alpestre;4300505;-27.250200000000;-53.034100000000;8.187;7.974;7.784;7.556;7.454;7.341;7.355;7.362;7.406;7.311;7.318;7.216
alto alegre;4300554;-28.776900000000;-52.989199999990;1.887;1.871;1.885;1.886;1.878;1.850;1.856;1.866;1.869;1.856;1.899;1.914
alto feliz;4300570;-29.391900000000;-51.312300000000;2.970;3.000;2.993;2.963;2.974;3.043;3.123;3.191;3.245;3.209;3.263;3.225
alvorada;4300604;-29.991399999990;-51.080900000000;200.051;202.454;205.660;208.464;210.438;211.417;212.721;213.396;212.901;211.533;210.275;209.157
amaral ferrador;4300638;-30.875599999990;-52.250999999990;6.493;6.456;6.349;6.303;6.302;6.347;6.370;6.300;6.330;6.364;6.428;6.439
ametista do sul;4300646;-27.360700000000;-53.183000000000;7.484;7.296;7.288;7.345;7.383;7.464;7.423;7.476;7.432;7.526;7.592;7.670
andre da rocha;4300661;-28.628299999990;-51.579700000000;1.243;1.235;1.225;1.228;1.213;1.218;1.208;1.211;1.215;1.220;1.241;1.244
anta gorda;4300703;-28.969799999990;-52.010199999990;6.189;6.086;6.185;6.239;6.273;6.323;6.433;6.558;6.614;6.677;6.787;6.785
antonio prado;4300802;-28.856500000000;-51.288300000000;13.080;12.982;12.873;12.800;12.781;12.899;13.013;12.969;12.878;12.873;13.188;13.462
arambare;4300851;-30.909300000000;-51.504600000000;3.770;3.768;3.781;3.868;3.847;3.858;3.857;3.905;3.877;3.880;3.880;3.920
ararica;4300877;-29.616800000000;-50.929099999990;4.969;4.990;5.178;5.309;5.472;5.542;5.663;5.701;5.811;5.935;6.039;6.189
aratiba;4300901;-27.397800000000;-52.297499999990;6.688;6.841;6.824;6.832;6.658;6.657;6.536;6.526;6.507;6.677;6.659;6.764
arroio do meio;4301008;-29.401399999990;-51.955700000000;19.146;19.235;19.626;19.726;20.257;20.467;20.918;21.012;21.528;21.927;22.565;23.133
arroio do padre;4301073;-31.431600000000;-52.417099999990;2.781;2.798;2.815;2.765;2.738;2.798;2.821;2.841;2.784;2.788;2.843;2.949
arroio do sal;4301057;-29.543900000000;-49.889499999990;7.902;8.150;8.286;8.528;8.828;9.285;9.582;9.854;10.093;10.185;10.416;10.598
arroio do tigre;4301206;-29.334800000000;-53.096600000000;12.914;12.834;12.810;12.560;12.523;12.711;12.967;13.134;13.068;12.998;12.744;12.704
arroio dos ratos;4301107;-30.087500000000;-51.727499999990;13.891;13.849;13.703;13.803;13.869;14.085;14.148;14.183;14.201;14.260;14.489;14.616
arroio grande;4301305;-32.232700000000;-53.086199999990;18.860;18.671;18.616;18.440;18.237;18.193;18.114;18.132;18.013;17.798;17.519;17.369
arvorezinha;4301404;-28.873699999990;-52.178100000000;10.436;10.480;10.485;10.258;10.150;10.118;10.221;10.253;10.317;10.293;10.409;10.547
augusto pestana;4301503;-28.517299999990;-53.988300000000;7.226;7.080;6.900;6.935;7.031;7.211;7.249;7.333;7.462;7.490;7.507;7.490
aurea;4301552;-27.693600000000;-52.050500000000;3.738;3.752;3.707;3.756;3.775;3.774;3.728;3.645;3.676;3.707;3.730;3.723
bage;4301602;-31.329699999990;-54.099899999990;119.252;119.469;119.816;119.444;118.983;118.682;119.056;119.539;120.104;121.069;121.233;121.321
balneario pinhal;4301636;-30.241900000000;-50.233600000000;11.090;11.237;11.392;11.766;12.099;12.474;12.674;12.938;13.216;13.416;13.674;13.852
barao;4301651;-29.372500000000;-51.494900000000;5.853;5.803;6.022;6.082;6.321;6.387;6.508;6.470;6.591;6.684;6.662;6.622
barao de cotegipe;4301701;-27.620799999990;-52.379800000000;6.658;6.608;6.684;6.688;6.753;6.752;6.924;6.922;6.916;6.808;6.773;6.839
barao do triunfo;4301750;-30.389099999990;-51.738399999990;7.173;7.168;7.134;7.082;7.070;6.975;6.977;7.007;7.019;6.836;6.647;6.554
barra do guarita;4301859;-27.192699999990;-53.710900000000;3.156;3.143;3.168;3.198;3.205;3.228;3.248;3.310;3.327;3.359;3.399;3.489
barra do quarai;4301875;-30.202900000000;-57.549700000000;4.102;4.025;3.998;3.902;3.902;3.893;3.984;4.134;4.273;4.274;4.217;4.180
barra do ribeiro;4301909;-30.293900000000;-51.301400000000;12.838;12.850;12.863;12.992;12.924;13.089;13.179;13.456;13.442;13.435;13.212;13.260
barra do rio azul;4301925;-27.406800000000;-52.408400000000;2.039;2.003;1.962;1.940;1.904;1.869;1.828;1.830;1.824;1.844;1.804;1.778
barra funda;4301958;-27.920500000000;-53.039099999990;2.409;2.398;2.439;2.413;2.449;2.459;2.547;2.571;2.621;2.634;2.670;2.704
barracao;4301800;-27.673900000000;-51.458599999990;5.466;5.432;5.353;5.264;5.141;5.174;5.097;5.092;5.013;5.121;5.066;5.089
barros cassal;4302006;-29.094700000000;-52.583599999990;11.379;11.229;11.165;11.046;10.919;10.865;10.681;10.624;10.542;10.494;10.512;10.455
