municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos
acegua;4300034;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0
agua santa;4300059;1;1;0;3;0;0;0;0;2;1;0;0;0;0;1
agudo;4300109;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0
ajuricaba;4300208;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0
alecrim;4300307;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0
alegrete;4300406;2;2;0;74;9;0;8;0;28;3;7;6;0;0;2
alegria;4300455;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
almirante tamandare do sul;4300471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alpestre;4300505;1;1;0;2;2;0;0;0;1;0;1;0;0;0;1
alto alegre;4300554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alto feliz;4300570;0;0;0;8;0;0;0;0;1;0;0;0;0;0;1
alvorada;4300604;2;2;0;141;2;12;118;16;115;11;35;51;0;0;2
amaral ferrador;4300638;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0
ametista do sul;4300646;0;0;0;4;1;0;0;0;1;1;0;1;0;0;0
andre da rocha;4300661;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0
anta gorda;4300703;0;0;0;3;0;0;0;0;0;1;2;0;0;0;0
antonio prado;4300802;0;0;0;4;0;0;0;0;6;0;1;1;0;0;0
arambare;4300851;0;0;0;4;1;0;1;0;2;0;0;0;0;0;0
ararica;4300877;0;0;0;8;3;1;0;1;4;0;1;0;0;0;0
aratiba;4300901;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0
arroio do meio;4301008;0;0;0;14;0;0;2;0;16;0;10;1;0;0;0
arroio do padre;4301073;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
arroio do sal;4301057;0;0;0;9;0;4;0;0;10;0;1;1;0;0;0
arroio do tigre;4301206;0;0;0;5;0;0;0;0;8;1;1;3;0;0;0
arroio dos ratos;4301107;0;0;0;7;1;0;0;0;2;1;3;6;0;0;0
arroio grande;4301305;0;0;0;12;0;0;0;0;7;1;1;1;0;0;0
arvorezinha;4301404;0;0;0;11;0;0;1;0;1;1;2;0;0;0;0
augusto pestana;4301503;0;0;0;4;0;0;0;1;5;0;0;0;0;0;0
aurea;4301552;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
bage;4301602;1;1;0;80;15;2;21;0;70;4;24;14;0;0;2
balneario pinhal;4301636;0;0;0;17;1;0;2;0;8;0;3;1;0;0;0
barao;4301651;0;0;0;3;0;0;0;0;8;0;0;0;0;0;0
barao de cotegipe;4301701;0;0;0;3;1;0;0;0;4;0;0;0;0;0;0
barao do triunfo;4301750;0;0;0;5;0;0;1;0;2;1;0;0;0;0;0
barra do guarita;4301859;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
barra do quarai;4301875;0;0;0;1;0;0;1;0;2;0;1;0;0;0;0
barra do ribeiro;4301909;1;1;0;10;3;0;0;0;8;0;3;1;0;0;1
barra do rio azul;4301925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
barra funda;4301958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
barracao;4301800;0;0;0;3;2;0;0;0;2;0;0;0;0;0;0
barros cassal;4302006;1;1;0;4;3;1;0;0;0;0;1;0;0;0;1
benjamin constant do sul;4302055;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1
bento goncalves;4302105;2;2;0;96;1;13;18;0;116;5;23;14;0;0;2
boa vista das missoes;4302154;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1
boa vista do burica;4302204;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0
boa vista do cadeado;4302220;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0
boa vista do incra;4302238;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
boa vista do sul;4302253;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0
bom jesus;4302303;0;0;0;7;1;0;0;0;2;4;2;6;0;0;0
bom principio;4302352;1;1;0;3;0;0;0;1;11;0;3;0;0;0;1
bom progresso;4302378;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
bom retiro do sul;4302402;0;0;0;2;0;0;0;0;5;0;4;1;0;0;0
boqueirao do leao;4302451;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
bossoroca;4302501;0;0;0;2;0;0;0;0;3;0;2;2;0;0;0
bozano;4302584;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
braga;4302600;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0
brochier;4302659;0;0;0;1;0;0;0;0;3;0;1;1;0;0;0
butia;4302709;1;1;0;10;1;2;1;0;8;0;5;1;0;0;1
cacapava do sul;4302808;0;0;0;19;2;2;1;0;13;7;16;4;0;0;0
cacequi;4302907;0;0;0;11;5;0;0;0;7;1;1;0;0;0;0
cachoeira do sul;4303004;0;0;0;63;5;4;5;0;24;2;17;18;0;0;0
cachoeirinha;4303103;1;1;0;150;0;13;51;1;109;7;7;16;0;0;1
cacique doble;4303202;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1
caibate;4303301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
caicara;4303400;0;0;0;4;0;1;0;0;1;1;0;0;0;0;0
camaqua;4303509;1;1;1;49;1;2;3;0;29;4;10;9;1;0;2
camargo;4303558;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
cambara do sul;4303608;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
campestre da serra;4303673;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
campina das missoes;4303707;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
campinas do sul;4303806;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
campo bom;4303905;0;0;0;58;0;6;15;2;49;0;12;11;0;0;0
campo novo;4304002;0;0;0;7;0;0;0;0;2;1;2;1;0;0;0
campos borges;4304101;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
candelaria;4304200;0;0;0;20;4;0;0;0;10;2;0;4;0;0;0
candido godoi;4304309;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0
candiota;4304358;1;1;0;5;2;0;0;0;8;1;0;0;0;0;1
canela;4304408;0;0;0;50;0;1;2;0;59;4;11;6;0;0;0
cangucu;4304507;0;0;0;35;5;0;1;0;19;2;0;1;0;0;0
canoas;4304606;3;3;0;402;0;32;149;20;310;14;54;58;0;0;3
canudos do vale;4304614;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
capao bonito do sul;4304622;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0
capao da canoa;4304630;1;1;0;57;0;4;5;1;43;2;3;10;0;0;1
capao do cipo;4304655;0;0;0;9;2;0;0;0;0;0;0;0;0;0;0
capao do leao;4304663;0;0;0;10;5;1;2;1;5;0;3;2;0;0;0
capela de santana;4304689;0;0;0;5;2;0;3;0;5;0;1;1;0;0;0
capitao;4304697;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
capivari do sul;4304671;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
caraa;4304713;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0
carazinho;4304705;0;0;0;57;0;6;3;0;34;4;5;9;0;0;0
carlos barbosa;4304804;0;0;0;11;0;0;0;0;28;1;6;4;0;0;0
carlos gomes;4304853;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1
casca;4304903;0;0;0;2;0;1;0;0;8;1;2;3;0;0;0
caseiros;4304952;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
catuipe;4305009;0;0;0;5;0;0;0;0;2;1;1;0;0;0;0
caxias do sul;4305108;4;4;1;393;2;70;118;25;362;16;23;19;1;0;5
centenario;4305116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cerrito;4305124;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
cerro branco;4305132;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
cerro grande;4305157;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
cerro grande do sul;4305173;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0
cerro largo;4305207;1;1;0;5;0;0;0;0;7;2;5;2;0;0;1
chapada;4305306;0;0;0;5;0;0;1;0;5;0;0;0;0;0;0
charqueadas;4305355;0;0;0;16;0;1;0;0;13;1;20;22;0;0;0
charrua;4305371;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0
chiapetta;4305405;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0
chui;4305439;0;0;0;19;1;2;6;0;1;2;1;1;0;0;0
chuvisca;4305447;0;0;0;3;1;0;0;0;2;0;0;0;0;0;0
cidreira;4305454;1;1;1;28;0;0;1;0;19;0;4;3;1;0;2
ciriaco;4305504;0;0;0;2;1;0;0;0;11;0;0;0;0;0;0
colinas;4305587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
colorado;4305603;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
condor;4305702;0;0;0;5;0;0;0;0;7;0;0;0;0;0;1
constantina;4305801;0;0;0;2;0;0;2;0;1;2;1;0;0;0;0
coqueiro baixo;4305835;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0
coqueiros do sul;4305850;0;0;0;3;1;0;0;0;2;0;0;0;0;0;0
coronel barros;4305871;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
coronel bicaco;4305900;0;0;0;6;1;0;0;1;1;0;0;0;0;0;0
coronel pilar;4305934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cotipora;4305959;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
coxilha;4305975;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
crissiumal;4306007;0;0;0;7;0;0;0;0;4;2;1;0;0;0;0
cristal;4306056;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
cristal do sul;4306072;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
cruz alta;4306106;0;0;0;72;1;3;12;0;36;6;7;8;0;0;0
cruzaltense;4306130;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
cruzeiro do sul;4306205;0;0;0;5;0;1;1;0;5;0;0;1;0;0;0
david canabarro;4306304;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
derrubadas;4306320;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
dezesseis de novembro;4306353;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
dilermando de aguiar;4306379;0;0;0;6;5;0;0;0;0;1;0;0;0;0;0
dois irmaos;4306403;0;0;0;11;0;0;0;0;23;2;5;1;0;0;1
dois irmaos das missoes;4306429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dois lajeados;4306452;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
dom feliciano;4306502;0;0;0;6;0;2;0;0;1;3;0;0;0;0;0
dom pedrito;4306601;1;1;0;33;7;1;6;0;17;2;7;6;0;0;2
dom pedro de alcantara;4306551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dona francisca;4306700;0;0;0;5;0;0;0;0;3;0;0;0;0;0;0
doutor ricardo;4306734;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
dr mauricio cardoso;4306759;0;0;0;4;0;0;0;0;1;0;1;0;0;0;1
eldorado do sul;4306767;2;2;0;39;1;1;12;1;30;2;22;9;0;0;2
encantado;4306809;0;0;0;30;0;1;0;0;12;1;6;3;0;0;0
encruzilhada do sul;4306908;0;0;0;21;7;2;3;0;12;3;2;1;0;0;0
engenho velho;4306924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entre ijuis;4306957;0;0;0;6;1;0;0;0;4;2;0;2;0;0;0
entre rios do sul;4306932;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
erebango;4306973;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0
erechim;4307005;0;0;0;68;0;4;8;2;88;15;53;14;0;0;0
ernestina;4307054;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
erval grande;4307203;0;0;0;4;1;0;0;0;2;1;0;0;0;0;0
erval seco;4307302;0;0;0;1;1;0;0;0;3;0;2;0;0;0;0
esmeralda;4307401;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
esperanca do sul;4307450;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0
espumoso;4307500;2;2;0;5;0;3;0;0;3;1;1;3;0;0;2
estacao;4307559;0;0;0;1;0;0;1;0;3;0;1;0;0;0;0
estancia velha;4307609;1;1;0;32;0;4;6;1;22;0;7;1;0;0;2
esteio;4307708;0;0;0;124;0;18;22;1;82;7;5;13;0;0;0
estrela;4307807;0;0;0;23;1;2;1;0;20;1;5;1;0;0;0
estrela velha;4307815;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
eugenio de castro;4307831;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
fagundes varela;4307864;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
farroupilha;4307906;2;2;0;41;0;3;3;1;56;9;8;22;0;0;2
faxinal do soturno;4308003;1;1;0;4;0;0;0;0;7;1;0;0;0;0;1
faxinalzinho;4308052;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0
fazenda vila nova;4308078;0;0;0;5;1;0;0;0;1;0;1;0;0;0;0
feliz;4308102;0;0;0;9;0;0;3;0;14;0;3;1;0;0;0
flores da cunha;4308201;0;0;0;19;0;2;1;0;22;1;2;2;0;0;0
floriano peixoto;4308250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fontoura xavier;4308300;0;0;0;5;0;0;1;0;1;0;0;0;0;0;0
formigueiro;4308409;0;0;0;6;2;0;0;0;5;1;0;0;0;0;0
forquetinha;4308433;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
fortaleza dos valos;4308458;0;0;0;2;0;0;0;0;6;0;0;0;0;0;0
frederico westphalen;4308508;0;0;0;19;1;1;2;0;23;1;13;3;0;0;0
garibaldi;4308607;1;1;0;13;0;1;2;0;13;1;4;0;0;0;1
garruchos;4308656;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0
gaurama;4308706;0;0;0;4;0;0;0;0;4;1;0;0;0;0;0
general camara;4308805;0;0;0;9;0;1;0;0;3;0;1;0;0;0;0
gentil;4308854;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
getulio vargas;4308904;1;1;0;4;0;0;1;0;15;0;10;5;0;0;1
girua;4309001;0;0;0;6;1;0;0;0;1;0;2;0;0;0;0
glorinha;4309050;1;1;0;3;2;0;0;0;1;0;3;1;0;0;1
gramado;4309100;2;2;0;72;0;0;0;0;41;2;19;9;0;0;2
gramado dos loureiros;4309126;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
gramado xavier;4309159;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0
gravatai;4309209;6;7;0;177;0;16;92;8;193;9;11;24;0;0;7
guabiju;4309258;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
guaiba;4309308;0;0;0;56;4;3;12;3;31;1;31;10;0;0;1
guapore;4309407;0;0;0;8;0;3;0;0;14;1;12;7;0;0;0
guarani das missoes;4309506;0;0;0;9;1;0;0;0;4;0;0;0;0;0;0
harmonia;4309555;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0
herval;4307104;0;0;0;6;2;0;2;0;1;0;1;0;0;0;0
herveiras;4309571;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
horizontina;4309605;0;0;0;7;0;0;0;0;8;2;2;4;0;0;0
hulha negra;4309654;0;0;0;5;1;0;0;1;2;0;0;0;0;0;0
humaita;4309704;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
ibarama;4309753;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0
ibiaca;4309803;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ibiraiaras;4309902;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0
ibirapuita;4309951;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
ibiruba;4310009;0;0;0;6;1;3;3;2;16;3;4;3;0;0;0
igrejinha;4310108;0;0;0;25;0;0;2;0;8;2;4;3;0;0;0
ijui;4310207;0;0;0;65;0;5;5;1;63;3;40;27;0;0;0
ilopolis;4310306;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
imbe;4310330;0;0;0;55;0;2;11;0;27;0;2;8;0;0;0
imigrante;4310363;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
independencia;4310405;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
inhacora;4310413;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
ipe;4310439;0;0;0;8;3;0;0;0;8;0;0;0;0;0;0
ipiranga do sul;4310462;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
irai;4310504;0;0;0;13;1;0;0;0;3;1;0;3;0;0;0
itaara;4310538;0;0;0;3;0;0;0;0;4;1;0;0;0;0;0
itacurubi;4310553;0;0;0;3;3;0;0;0;1;0;0;0;0;0;0
itapuca;4310579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
itaqui;4310603;0;0;0;25;7;0;5;0;12;1;1;2;0;0;0
itati;4310652;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
