municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos;latitude;longitude;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;taxa_homicidio_doloso;taxa_total_vitimas_homicidio_doloso;taxa_latrocinio;taxa_furtos;taxa_abigeato;taxa_furto_veiculo;taxa_roubos;taxa_roubo_veiculo;taxa_estelionato;taxa_delitos_armas_municoes;taxa_entorpecente_posse;taxa_entorpecente_trafico;taxa_vitimas_latrocinio;taxa_vitimas_lesao_corporal_morte;taxa_total_vitimas_crimes_violentos
acegua;4300034;0;0;0;20;8;0;3;0;27;4;3;0;0;0;0;-31.86075999999;-54.16705999999;4487;4485;4539;4520;4564;4483;4472;4412;4487;4516;4540;4505;0.0;0.0;0.0;443.9511653718091;177.58046614872364;0.0;66.59267480577137;0.0;599.3340732519423;88.79023307436182;66.59267480577137;0.0;0.0;0.0;0.0
agua santa;4300059;1;1;0;20;3;4;1;0;13;2;0;0;0;0;2;-28.1672;-52.03099999999;3801;3789;3858;3898;3959;3922;3977;4013;4057;4107;4093;4256;23.496240601503757;23.496240601503757;0.0;469.92481203007515;70.48872180451127;93.98496240601503;23.496240601503757;0.0;305.45112781954884;46.992481203007515;0.0;0.0;0.0;0.0;46.992481203007515
agudo;4300109;1;1;0;102;2;2;3;1;51;3;7;10;0;0;1;-29.6447;-53.2515;17057;16791;16731;16838;16851;16701;16595;16475;16537;16556;16760;16612;6.019744762822056;6.019744762822056;0.0;614.0139658078497;12.039489525644113;12.039489525644113;18.05923428846617;6.019744762822056;307.00698290392484;18.05923428846617;42.138213339754394;60.197447628220566;0.0;0.0;6.019744762822056
ajuricaba;4300208;0;0;0;26;1;0;1;0;28;2;3;0;0;0;0;-28.2342;-53.7757;7399;7466;7389;7431;7299;7241;7279;7325;7546;7485;7584;7447;0.0;0.0;0.0;349.13387941452936;13.428226131328051;0.0;13.428226131328051;0.0;375.99033167718545;26.856452262656102;40.28467839398415;0.0;0.0;0.0;0.0
alecrim;4300307;1;1;0;36;10;0;2;0;17;10;0;4;0;0;1;-27.6579;-54.76489999999;7176;7092;7074;6891;6814;6598;6594;6569;6513;6435;6301;6403;15.617679212868968;15.617679212868968;0.0;562.2364516632828;156.17679212868967;0.0;31.235358425737935;0.0;265.50054661877243;156.17679212868967;0.0;62.47071685147587;0.0;0.0;15.617679212868968
alegrete;4300406;13;13;0;880;90;16;65;0;464;32;81;51;0;0;15;-29.79019999999;-55.79489999999;79245;77956;76251;75192;74229;73845;72900;72524;72516;72376;72072;72085;18.034265103697024;18.034265103697024;0.0;1220.7810224041064;124.85260456405632;22.19601858916557;90.17132551848512;0.0;643.6845390858015;44.39203717833114;112.36734410765068;70.74980925296525;0.0;0.0;20.808767427342723
alegria;4300455;0;0;0;18;2;1;1;0;9;3;0;1;0;0;0;-27.83449999999;-54.0557;4387;4354;4296;4293;4198;4113;4122;4137;4231;4227;4247;4219;0.0;0.0;0.0;426.64138421426884;47.40459824602986;23.70229912301493;23.70229912301493;0.0;213.32069210713442;71.1068973690448;0.0;23.70229912301493;0.0;0.0;0.0
almirante tamandare do sul;4300471;0;0;0;21;1;1;1;0;11;2;0;0;0;0;0;-28.10859999999;-52.9119;2105;2011;1981;1981;2003;2031;2048;2085;2083;2072;2052;2074;0.0;0.0;0.0;1012.5361620057859;48.216007714561236;48.216007714561236;48.216007714561236;0.0;530.3760848601736;96.43201542912247;0.0;0.0;0.0;0.0;0.0
alpestre;4300505;2;2;0;58;19;1;1;0;13;15;9;1;0;0;2;-27.2502;-53.0341;8187;7974;7784;7556;7454;7341;7355;7362;7406;7311;7318;7216;27.716186252771617;27.716186252771617;0.0;803.7694013303769;263.3037694013304;13.858093126385809;13.858093126385809;0.0;180.15521064301552;207.87139689578711;124.72283813747228;13.858093126385809;0.0;0.0;27.716186252771617
alto alegre;4300554;0;0;0;7;2;0;0;0;1;0;0;0;0;0;0;-28.7769;-52.98919999999;1887;1871;1885;1886;1878;1850;1856;1866;1869;1856;1899;1914;0.0;0.0;0.0;365.7262277951933;104.49320794148382;0.0;0.0;0.0;52.24660397074191;0.0;0.0;0.0;0.0;0.0;0.0
