ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;2021
4300034;0;0;0;20;8;0;3;0;27;4;3;0;0;0;4505
4300059;1;1;0;20;3;4;1;0;13;2;0;0;0;0;4256
4300109;1;1;0;102;2;2;3;1;51;3;7;10;0;0;16612
4300208;0;0;0;26;1;0;1;0;28;2;3;0;0;0;7447
4300307;1;1;0;36;10;0;2;0;17;10;0;4;0;0;6403
4300406;13;13;0;880;90;16;65;0;464;32;81;51;0;0;72085
4300455;0;0;0;18;2;1;1;0;9;3;0;1;0;0;4219
4300471;0;0;0;21;1;1;1;0;11;2;0;0;0;0;2074
4300505;2;2;0;58;19;1;1;0;13;15;9;1;0;0;7216
4300554;0;0;0;7;2;0;0;0;1;0;0;0;0;0;1914
4300570;0;0;0;21;1;0;1;0;19;3;3;0;0;0;3225
4300604;52;55;0;1566;18;165;1437;198;1519;93;326;391;0;0;209157
4300638;0;0;0;21;4;2;0;0;6;2;0;0;0;0;6439
4300646;1;1;0;82;5;6;1;0;39;3;11;4;0;0;7670
4300661;0;0;0;11;3;1;0;0;7;1;1;0;0;0;1244
4300703;1;1;0;30;0;2;1;0;6;2;8;1;0;0;6785
4300802;0;0;0;66;5;9;5;3;89;3;17;17;0;0;13462
4300851;0;0;0;61;12;2;3;1;31;4;19;5;0;0;3920
4300877;1;1;0;81;6;3;3;1;45;2;28;10;0;0;6189
4300901;0;0;0;25;0;1;0;0;19;3;1;0;0;0;6764
4301008;2;2;0;161;0;10;9;2;168;9;69;17;0;0;23133
4301073;0;0;0;12;3;0;1;0;10;1;0;0;0;0;2949
4301057;2;2;1;296;2;23;7;0;114;5;26;40;1;0;10598
4301206;1;1;0;68;13;8;1;0;60;6;4;9;0;0;12704
4301107;1;1;0;93;4;3;5;1;68;14;45;47;0;0;14616
4301305;1;1;0;132;24;4;9;0;51;8;23;26;0;0;17369
4301404;2;2;0;45;1;7;5;0;6;7;13;6;0;0;10547
4301503;0;0;0;21;0;2;0;2;55;4;0;0;0;0;7490
4301552;0;0;0;17;0;0;0;0;24;2;1;0;0;0;3723
4301602;9;9;0;1233;85;43;206;2;866;71;185;177;0;1;121321
4301636;5;6;1;225;1;7;28;2;128;8;29;12;1;0;13852
4301651;0;0;0;21;0;1;4;0;68;2;1;0;0;0;6622
4301701;0;0;0;28;3;1;0;0;39;1;2;4;0;0;6839
4301750;0;0;0;36;7;2;4;0;12;9;2;1;0;0;6554
4301859;0;0;0;17;2;2;0;0;13;6;1;5;0;0;3489
4301875;0;0;0;21;4;0;1;0;17;0;14;4;0;0;4180
4301909;3;3;0;97;14;3;7;1;93;9;34;14;0;0;13260
4301925;0;0;0;7;0;0;0;0;5;0;0;0;0;0;1778
4301958;0;0;0;6;0;2;0;1;5;2;0;0;0;0;2704
4301800;1;1;0;47;15;0;2;0;20;7;6;3;0;0;5089
4302006;2;2;0;91;15;5;5;0;4;5;18;0;0;0;10455
4302055;1;1;0;3;0;0;0;0;6;3;0;0;0;0;2203
4302105;30;30;0;1165;6;84;148;14;1226;70;362;195;0;1;130149
4302154;0;0;0;19;0;1;0;0;10;0;1;2;0;0;2089
4302204;0;0;0;18;0;0;1;0;31;4;3;3;0;0;7331
4302220;0;0;0;23;3;0;1;0;13;3;0;0;0;0;2337
4302238;0;0;0;22;4;1;0;0;12;1;0;0;0;0;2504
4302253;0;0;0;17;2;1;0;0;10;0;0;0;0;0;3165
4302303;2;2;0;103;10;5;6;1;54;11;27;48;0;0;11695
4302352;1;1;0;63;1;8;2;2;131;4;54;13;0;0;14688
4302378;2;2;0;5;0;1;0;0;7;1;1;3;0;0;2396
4302402;2;2;0;75;8;11;4;0;68;5;33;16;0;0;13344
4302451;0;0;0;43;2;8;0;0;14;1;2;2;0;0;7467
4302501;1;1;0;31;11;1;1;0;38;7;29;14;0;0;6250
4302584;0;0;0;11;1;0;0;0;10;1;2;0;0;0;2313
4302600;0;0;0;13;3;3;2;0;9;4;4;4;0;0;3725
4302659;0;0;0;19;1;1;1;0;37;1;3;1;0;0;5349
4302709;9;11;0;178;19;4;27;0;89;23;59;48;0;0;20842
4302808;1;1;0;308;40;23;25;1;224;33;105;37;0;0;34460
4302907;1;1;0;177;55;3;6;0;60;12;11;5;0;0;12694
4303004;6;6;0;765;34;41;71;1;367;47;105;167;0;0;84861
4303103;10;11;0;1557;1;124;580;70;1358;39;101;118;0;0;136683
4303202;3;3;0;32;1;6;2;0;9;65;2;1;0;0;5087
4303301;0;0;0;10;2;0;0;0;26;3;1;2;0;0;5018
4303400;0;0;0;27;6;2;0;0;17;3;2;0;0;0;4886
4303509;5;5;1;641;29;26;52;7;350;40;167;130;1;0;66321
4303558;1;1;0;10;2;0;2;0;8;4;8;0;0;0;2989
4303608;0;0;0;32;5;2;1;0;36;5;3;3;0;0;6374
4303673;1;1;0;15;1;2;3;1;6;5;3;1;0;0;3247
4303707;0;0;0;13;1;1;0;0;16;1;2;1;0;0;6207
4303806;0;0;0;35;1;0;1;0;22;9;21;1;0;0;5855
4303905;3;3;0;676;1;115;117;33;601;18;106;55;0;0;66930
4304002;1;1;0;114;3;2;2;0;22;8;25;3;0;0;5085
4304101;0;0;0;23;4;1;0;1;11;3;1;1;0;0;3715
4304200;4;4;0;276;32;8;17;1;134;20;53;39;0;0;30186
4304309;0;0;0;10;0;2;0;0;15;6;3;1;0;0;6725
4304358;2;2;0;76;25;6;8;1;53;5;10;7;0;0;9435
4304408;5;5;0;625;1;26;36;2;579;22;209;120;0;0;47990
4304507;2;2;0;346;50;18;27;2;162;24;10;10;0;0;53161
4304606;77;81;0;4872;3;493;1770;282;3962;156;702;620;0;0;365364
4304614;0;0;0;9;0;0;0;0;10;0;0;0;0;0;1757
4304622;0;0;0;35;24;0;0;0;4;2;0;0;0;0;1952
4304630;14;15;0;1080;3;51;155;16;778;29;87;143;0;0;56396
4304655;0;0;0;32;9;0;0;0;12;3;0;0;0;0;3198
4304663;0;0;0;158;35;9;19;1;75;7;8;18;0;0;27105
4304689;1;1;0;47;7;5;9;1;64;3;8;22;0;0;13084
4304697;0;0;0;17;1;0;0;0;6;0;2;0;0;0;3185
4304671;0;0;0;23;2;0;4;1;30;4;8;2;0;0;4620
4304713;1;1;0;18;2;2;1;1;20;0;4;4;0;0;8175
4304705;14;14;1;605;5;59;96;7;607;66;116;102;1;0;64757
4304804;6;9;0;103;4;9;4;6;260;5;38;22;0;0;31709
4304853;1;1;0;9;0;1;0;0;5;0;0;0;0;0;1482
4304903;1;1;0;67;5;10;0;1;70;2;16;19;0;0;9366
4304952;2;2;0;24;7;2;2;0;16;5;8;3;0;0;3235
4305009;2;2;0;44;7;2;3;0;33;11;3;3;0;0;9483
4305108;83;86;1;4101;24;754;1035;197;4566;262;172;346;1;0;479884
4305116;1;1;0;5;1;0;0;0;7;0;0;0;0;0;3148
4305124;0;0;1;28;11;0;0;1;20;2;3;1;1;0;6133
4305132;0;0;0;17;0;0;0;0;10;2;0;0;0;0;4128
4305157;0;0;0;26;8;3;0;0;8;1;0;0;0;0;2670
4305173;2;2;0;42;3;3;3;1;18;13;3;0;0;0;10675
4305207;4;4;1;43;2;2;2;0;62;13;26;14;1;0;14814
4305306;1;1;0;43;1;3;5;0;66;4;1;0;0;0;10299
4305355;1;1;0;167;4;5;13;0;179;16;192;220;0;0;38054
4305371;0;0;0;8;0;1;0;0;4;2;0;0;0;0;3211
4305405;0;0;0;19;0;1;2;0;14;2;3;5;0;0;4047
4305439;1;1;0;136;19;4;19;0;22;5;20;10;0;0;5869
4305447;0;0;0;40;7;1;1;0;13;4;0;0;0;0;5242
4305454;15;15;1;385;5;22;56;5;152;16;44;45;1;1;16515
4305504;0;0;0;28;9;2;0;0;31;4;4;3;0;0;4670
4305587;0;0;0;10;0;0;0;0;11;0;2;0;0;0;2971
4305603;0;0;0;26;3;0;0;0;8;3;1;0;0;0;3482
4305702;2;2;0;53;10;5;2;1;56;4;2;1;0;0;7277
4305801;0;0;0;48;2;5;3;1;58;5;19;14;0;0;10805
4305835;0;0;0;7;0;1;0;0;6;1;0;0;0;0;1500
4305850;0;0;0;15;4;0;0;1;18;2;1;0;0;0;2392
4305871;0;0;0;11;1;1;0;0;6;5;1;1;0;0;2908
4305900;1;1;0;41;3;1;5;1;13;3;6;7;0;0;7477
4305934;0;0;0;8;0;0;0;0;5;0;2;0;0;0;1743
4305959;0;0;0;17;1;2;0;0;16;3;1;0;0;0;3967
4305975;0;0;0;28;4;1;0;0;12;3;9;0;0;0;2912
4306007;0;0;0;73;4;2;0;0;45;13;5;6;0;0;13901
4306056;0;0;0;51;6;1;2;0;34;8;13;5;0;0;7633
4306072;0;0;0;11;2;0;0;0;12;3;0;0;0;0;2885
4306106;15;15;0;669;12;28;83;2;576;76;102;113;0;0;62386
4306130;0;0;0;13;1;0;3;0;2;0;0;0;0;0;1891
4306205;2;2;0;90;6;4;2;0;60;1;7;3;0;0;13637
4306304;0;0;0;21;4;1;0;0;26;0;0;1;0;0;4531
4306320;0;0;0;10;1;1;0;0;6;5;1;0;0;0;2926
4306353;0;0;0;10;2;0;0;0;9;0;2;2;0;0;2503
4306379;0;0;0;39;25;0;2;0;9;5;0;0;0;0;2985
4306403;1;1;0;152;3;8;13;1;284;7;60;34;0;0;33479
4306429;0;0;0;7;2;0;0;0;6;0;0;0;0;0;2131
4306452;0;0;0;16;1;1;0;1;13;2;0;0;0;0;3539
4306502;1;1;1;123;25;5;5;1;47;12;2;5;1;0;14055
4306601;5;5;0;370;64;13;44;4;148;32;75;58;0;0;36422
4306551;1;1;0;9;1;3;0;0;5;0;0;0;0;0;2826
4306700;0;0;0;30;2;2;1;0;20;1;0;2;0;0;3312
4306734;0;0;0;10;0;0;0;0;4;3;3;0;0;0;4795
4306759;0;0;0;30;2;0;0;0;24;6;1;0;0;0;1952
4306767;9;10;0;415;12;21;102;3;416;16;163;99;0;0;41221
4306809;5;5;1;402;3;16;13;2;166;7;78;25;1;0;23543
4306908;6;6;0;165;41;10;27;0;98;33;20;16;0;0;23591
4306924;0;0;0;5;1;1;0;0;2;0;0;2;0;0;1498
4306957;1;1;0;71;6;3;6;0;26;11;5;5;0;0;2903
4306932;0;0;0;19;0;0;2;0;10;2;3;2;0;0;9272
4306973;0;0;0;26;0;0;0;0;13;4;4;1;0;0;3124
4307005;22;25;0;892;4;46;95;12;984;184;357;142;0;1;109459
4307054;1;1;0;21;2;1;0;2;19;4;9;0;0;0;3137
4307203;0;0;0;25;2;1;2;0;24;5;3;3;0;0;5234
4307302;0;0;0;29;6;2;1;0;15;8;9;3;0;0;7515
4307401;2;2;0;43;1;1;6;2;8;7;2;1;0;0;3291
4307450;0;0;0;4;0;2;0;0;6;6;0;5;0;0;3279
4307500;3;3;0;98;6;8;6;0;53;12;5;6;0;0;15694
4307559;0;0;0;31;1;1;2;0;31;3;14;6;0;0;6220
4307609;1;1;0;477;3;25;66;17;196;9;53;22;0;0;49776
4307708;9;10;0;1155;0;85;266;31;917;20;96;119;0;0;86429
4307807;5;5;0;239;2;13;14;4;244;12;92;38;0;2;35831
4307815;0;0;0;21;1;0;0;0;12;2;1;0;0;0;3469
4307831;0;0;0;8;1;0;0;0;5;4;2;2;0;0;2723
