municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos
acegua;4300034;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0
agua santa;4300059;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
agudo;4300109;0;0;0;19;1;0;1;0;3;0;3;1;0;0;0
ajuricaba;4300208;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
alecrim;4300307;0;0;0;2;1;0;1;0;3;0;0;0;0;0;0
alegrete;4300406;1;1;0;96;8;3;5;0;61;3;5;6;0;0;1
alegria;4300455;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
almirante tamandare do sul;4300471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alpestre;4300505;0;0;0;5;3;0;0;0;1;0;0;0;0;0;0
alto alegre;4300554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alto feliz;4300570;0;0;0;3;0;0;0;0;3;1;0;0;0;0;0
alvorada;4300604;5;6;0;142;2;30;146;15;120;15;15;34;0;0;6
amaral ferrador;4300638;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ametista do sul;4300646;0;0;0;2;0;1;0;0;5;0;2;1;0;0;0
andre da rocha;4300661;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
anta gorda;4300703;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
antonio prado;4300802;0;0;0;3;0;0;0;0;7;0;2;1;0;0;1
arambare;4300851;0;0;0;5;1;1;0;1;4;0;3;1;0;0;0
ararica;4300877;1;1;0;6;0;0;0;0;9;0;1;0;0;0;1
aratiba;4300901;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
arroio do meio;4301008;0;0;0;9;0;0;2;0;12;0;1;2;0;0;0
arroio do padre;4301073;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
arroio do sal;4301057;0;0;0;40;0;4;1;0;17;0;5;8;0;0;0
arroio do tigre;4301206;0;0;0;4;0;1;0;0;4;0;0;2;0;0;0
arroio dos ratos;4301107;0;0;0;7;0;0;0;0;7;0;4;1;0;0;0
arroio grande;4301305;0;0;0;13;2;1;1;0;5;1;4;2;0;0;0
arvorezinha;4301404;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
augusto pestana;4301503;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0
aurea;4301552;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
bage;4301602;0;0;0;135;3;3;18;1;81;6;10;16;0;0;0
balneario pinhal;4301636;1;1;0;36;0;1;7;0;19;2;1;1;0;0;1
barao;4301651;0;0;0;1;0;0;0;0;9;0;0;0;0;0;0
barao de cotegipe;4301701;0;0;0;1;0;0;0;0;2;0;1;0;0;0;1
barao do triunfo;4301750;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
barra do guarita;4301859;0;0;0;2;0;1;0;0;2;3;0;0;0;0;0
barra do quarai;4301875;0;0;0;1;0;0;0;0;6;0;4;1;0;0;0
barra do ribeiro;4301909;0;0;0;5;1;0;2;0;11;0;3;2;0;0;0
barra do rio azul;4301925;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
barra funda;4301958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
barracao;4301800;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0
